,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuktoyaktuk,69.45,-133.04,53.6,87,75,4.61,CA,1661644020
1,cidreira,-30.18,-50.21,64.54,82,0,1.59,BR,1661643821
2,punta arenas,-53.15,-70.92,41.11,75,40,24.16,CL,1661643862
3,yellowknife,62.46,-114.35,68.52,42,75,3.44,CA,1661643946
4,busselton,-33.65,115.33,50.97,71,81,9.78,AU,1661644021
5,hobart,-42.88,147.33,56.26,78,75,0.0,AU,1661644022
6,biu,10.61,12.19,67.8,95,97,6.44,NG,1661644022
7,hualmay,-11.1,-77.61,62.01,79,15,10.96,PE,1661644022
8,hermanus,-34.42,19.23,51.85,77,1,5.06,ZA,1661644023
9,aguilas,37.41,-1.58,77.97,80,1,6.55,ES,1661644023
10,dikson,73.51,80.55,37.53,67,13,7.65,RU,1661644024
11,mataura,-46.19,168.86,46.47,61,100,0.81,NZ,1661644024
12,bluff,-46.6,168.33,46.8,70,100,6.24,NZ,1661644025
13,visnes,59.36,5.22,57.25,77,0,21.85,NO,1661644025
14,iqaluit,63.75,-68.51,38.93,93,75,4.61,CA,1661644026
15,ushuaia,-54.8,-68.3,35.26,93,100,20.71,AR,1661644026
16,chokurdakh,70.63,147.92,58.05,48,52,8.7,RU,1661644027
17,ekibastuz,51.67,75.37,54.41,56,14,7.2,KZ,1661644027
18,kapaa,22.08,-159.32,84.52,68,40,13.8,US,1661644027
19,ahipara,-35.17,173.17,61.79,65,7,5.48,NZ,1661644028
20,ponta do sol,32.67,-17.1,70.43,57,41,3.51,PT,1661644028
21,eirunepe,-6.66,-69.87,75.67,81,77,1.25,BR,1661644029
22,moyale,3.52,39.06,68.04,57,100,12.28,KE,1661644029
23,praya,14.92,-23.51,77.54,88,75,13.8,CV,1661643780
24,thompson,55.74,-97.86,80.76,44,20,5.75,CA,1661644030
25,port lincoln,-34.73,135.87,60.04,51,51,20.85,AU,1661643946
26,sept-iles,50.2,-66.38,64.4,78,40,10.36,CA,1661644019
27,arraial do cabo,-22.97,-42.03,70.59,85,17,25.55,BR,1661644031
28,bethel,41.37,-73.41,81.45,67,48,3.02,US,1661644031
29,port pirie,-33.18,138.02,63.72,44,78,13.67,AU,1661644032
30,constitucion,-35.33,-72.42,50.14,64,0,8.03,CL,1661643931
31,mahebourg,-20.41,57.7,72.25,94,75,14.97,MU,1661644032
32,luderitz,-26.65,15.16,52.79,79,0,11.12,NA,1661644033
33,hilo,19.73,-155.09,87.28,63,0,10.36,US,1661644033
34,beringovskiy,63.05,179.32,52.41,73,77,9.8,RU,1661644034
35,hartselle,34.44,-86.94,91.08,74,64,0.76,US,1661644034
36,albany,42.6,-73.97,75.22,68,20,1.86,US,1661643945
37,ossora,59.24,163.07,62.56,67,73,5.1,RU,1661644034
38,rikitea,-23.12,-134.97,71.22,65,99,20.94,PF,1661644035
39,vardo,70.37,31.11,49.98,87,80,14.97,NO,1661644035
40,udachnyy,66.42,112.4,37.45,80,50,4.05,RU,1661644036
41,nishihara,26.18,127.76,85.28,84,75,6.91,JP,1661644036
42,itarema,-2.92,-39.92,77.52,83,16,17.81,BR,1661643920
43,mumford,5.26,-0.76,73.33,92,100,10.36,GH,1661644037
44,vao,-22.67,167.48,69.6,80,100,23.53,NC,1661644038
45,caninde de sao francisco,-9.66,-37.79,68.38,92,65,6.91,BR,1661644038
46,ancud,-41.87,-73.82,43.72,75,66,4.38,CL,1661644038
47,airai,-8.93,125.41,67.3,60,33,2.73,TL,1661644039
48,muriti,-1.98,32.92,72.79,68,63,8.79,TZ,1661644039
49,nicolas bravo,18.45,-88.92,82.49,75,24,5.88,MX,1661644040
50,jamestown,42.1,-79.24,71.24,73,0,9.22,US,1661643743
51,channel-port aux basques,47.57,-59.14,62.19,72,33,14.88,CA,1661644040
52,ahuimanu,21.44,-157.84,89.31,57,20,19.57,US,1661644041
53,coquimbo,-29.95,-71.34,53.33,93,0,6.91,CL,1661643796
54,upernavik,72.79,-56.15,37.8,95,75,10.29,GL,1661644041
55,antofagasta,-23.65,-70.4,56.48,81,18,4.85,CL,1661644042
56,ilulissat,69.22,-51.1,42.82,70,34,2.3,GL,1661644042
57,provideniya,64.38,-173.3,49.93,77,90,2.82,RU,1661644043
58,saint-pierre,-21.34,55.48,73.56,66,13,5.75,RE,1661644043
59,nizhniy odes,63.64,54.86,52.5,80,1,6.15,RU,1661644044
60,tarakan,3.3,117.63,78.12,86,69,5.59,ID,1661644044
61,cape town,-33.93,18.42,54.91,70,20,4.0,ZA,1661643847
62,mao,39.89,4.27,72.16,88,0,1.14,ES,1661644045
63,saldanha,-33.01,17.94,46.45,71,0,11.95,ZA,1661644045
64,meulaboh,4.14,96.13,75.16,89,98,4.54,ID,1661644045
65,norrtalje,59.76,18.7,66.02,97,77,9.08,SE,1661644046
66,cabo san lucas,22.89,-109.91,89.19,74,99,9.98,MX,1661644046
67,huanren,41.26,125.37,60.96,75,58,2.39,CN,1661644046
68,strezhevoy,60.73,77.59,48.61,84,100,10.87,RU,1661644047
69,jalu,29.03,21.55,78.51,59,8,11.95,LY,1661644047
70,marawi,8.0,124.29,74.26,77,82,2.17,PH,1661644047
71,bredasdorp,-34.53,20.04,42.12,87,0,6.91,ZA,1661644048
72,bilibino,68.05,166.44,53.4,51,99,4.52,RU,1661644048
73,brae,60.4,-1.35,51.84,82,98,8.37,GB,1661644049
74,lagoa,39.05,-27.98,73.18,84,7,22.97,PT,1661644049
75,qaanaaq,77.48,-69.36,32.32,71,96,0.49,GL,1661644049
76,kaitangata,-46.28,169.85,51.46,63,100,0.49,NZ,1661644050
